cardCount,name,symbol,logo,id
"{'total': 102, 'official': 102}",Base Set,,https://assets.tcgdex.net/en/base/base1/logo,base1
"{'total': 64, 'official': 64}",Jungle,https://assets.tcgdex.net/univ/base/base2/symbol,https://assets.tcgdex.net/en/base/base2/logo,base2
"{'total': 53, 'official': 53}",Wizards Black Star Promos,https://assets.tcgdex.net/univ/base/basep/symbol,https://assets.tcgdex.net/en/base/basep/logo,basep
"{'total': 7, 'official': 7}",W Promotional,,,wp
"{'total': 62, 'official': 62}",Fossil,https://assets.tcgdex.net/univ/base/base3/symbol,https://assets.tcgdex.net/en/base/base3/logo,base3
"{'total': 160, 'official': 160}",Jumbo cards,,,jumbo
"{'total': 130, 'official': 130}",Base Set 2,https://assets.tcgdex.net/univ/base/base4/symbol,https://assets.tcgdex.net/en/base/base4/logo,base4
"{'total': 83, 'official': 82}",Team Rocket,https://assets.tcgdex.net/univ/base/base5/symbol,https://assets.tcgdex.net/en/base/base5/logo,base5
"{'total': 132, 'official': 132}",Gym Heroes,https://assets.tcgdex.net/univ/gym/gym1/symbol,https://assets.tcgdex.net/en/gym/gym1/logo,gym1
"{'total': 132, 'official': 132}",Gym Challenge,https://assets.tcgdex.net/univ/gym/gym2/symbol,https://assets.tcgdex.net/en/gym/gym2/logo,gym2
"{'total': 111, 'official': 111}",Neo Genesis,https://assets.tcgdex.net/univ/neo/neo1/symbol,https://assets.tcgdex.net/en/neo/neo1/logo,neo1
"{'total': 75, 'official': 75}",Neo Discovery,https://assets.tcgdex.net/univ/neo/neo2/symbol,https://assets.tcgdex.net/en/neo/neo2/logo,neo2
"{'total': 18, 'official': 18}",Southern Islands,https://assets.tcgdex.net/univ/neo/si1/symbol,https://assets.tcgdex.net/en/neo/si1/logo,si1
"{'total': 66, 'official': 64}",Neo Revelation,https://assets.tcgdex.net/univ/neo/neo3/symbol,https://assets.tcgdex.net/en/neo/neo3/logo,neo3
